"","TopicID","Word","Region","Year"
"153",1,"update:","UNKNOWN","2004"
"154",2,"update","UNKNOWN","2004"
"155",2,"42s","UNKNOWN","2004"
"156",2,"cjsotf","UNKNOWN","2004"
"157",3,"cjsotf","UNKNOWN","2004"
"158",3,"update","UNKNOWN","2004"
"159",3,"ivo","UNKNOWN","2004"
"160",4,"42s","UNKNOWN","2004"
"161",4,"rocket","UNKNOWN","2004"
"162",4,"rockets","UNKNOWN","2004"
"163",5,"1110z","UNKNOWN","2004"
"164",5,"42s","UNKNOWN","2004"
"165",5,"bcp","UNKNOWN","2004"
"166",6,"bcp","UNKNOWN","2004"
"167",6,"update:","UNKNOWN","2004"
"168",6,"ivo","UNKNOWN","2004"
"169",7,"border,","UNKNOWN","2004"
"170",7,"pakistan","UNKNOWN","2004"
"171",7,"rocket","UNKNOWN","2004"
"172",8,"42s","UNKNOWN","2004"
"173",8,"att.","UNKNOWN","2004"
"174",8,"rocket","UNKNOWN","2004"
"175",9,"bcp","UNKNOWN","2004"
"176",9,"rocket","UNKNOWN","2004"
"177",9,"attack","UNKNOWN","2004"
"178",10,"personnel","UNKNOWN","2004"
"179",10,"tic","UNKNOWN","2004"
"180",10,"10x","UNKNOWN","2004"
"181",1,"vehicle","RC CAPITAL","2005"
"182",1,"convoy","RC CAPITAL","2005"
"183",1,"local","RC CAPITAL","2005"
"184",2,"cache","RC CAPITAL","2005"
"185",2,"found","RC CAPITAL","2005"
"186",2,"rocket","RC CAPITAL","2005"
"187",3,"ana","RC CAPITAL","2005"
"188",3,"none","RC CAPITAL","2005"
"189",3,"phoenix","RC CAPITAL","2005"
"190",4,"ivo","RC CAPITAL","2005"
"191",4,"42s","RC CAPITAL","2005"
"192",4,"rocket","RC CAPITAL","2005"
"193",5,"cache","RC CAPITAL","2005"
"194",5,"patrol","RC CAPITAL","2005"
"195",5,"kabul.","RC CAPITAL","2005"
"196",6,"ied","RC CAPITAL","2005"
"197",6,"kabul","RC CAPITAL","2005"
"198",6,"ana","RC CAPITAL","2005"
"199",7,"vehicle","RC CAPITAL","2005"
"200",7,"phoenix","RC CAPITAL","2005"
"201",7,"kabul.","RC CAPITAL","2005"
"202",8,"isaf","RC CAPITAL","2005"
"203",8,"explosion","RC CAPITAL","2005"
"204",8,"vehicle","RC CAPITAL","2005"
"205",9,"phoenix","RC CAPITAL","2005"
"206",9,"injuries","RC CAPITAL","2005"
"207",9,"ivo","RC CAPITAL","2005"
"208",10,"medevac","RC CAPITAL","2005"
"209",10,"phoenix","RC CAPITAL","2005"
"210",10,"w/u","RC CAPITAL","2005"
"211",1,"rocket","RC EAST","2005"
"212",1,"cjsotf","RC EAST","2005"
"213",1,"attack","RC EAST","2005"
"214",2,"frago","RC EAST","2005"
"215",2,"opord","RC EAST","2005"
"216",2,"directs","RC EAST","2005"
"217",3,"ied","RC EAST","2005"
"218",3,"anp","RC EAST","2005"
"219",3,"devil","RC EAST","2005"
"220",4,"42s","RC EAST","2005"
"221",4,"salt","RC EAST","2005"
"222",4,"following","RC EAST","2005"
"223",5,"guardian","RC EAST","2005"
"224",5,"received","RC EAST","2005"
"225",5,"bagram","RC EAST","2005"
"226",6,"cache","RC EAST","2005"
"227",6,"fob","RC EAST","2005"
"228",6,"police","RC EAST","2005"
"229",7,"medevac","RC EAST","2005"
"230",7,"cjtf76","RC EAST","2005"
"231",7,"w/u","RC EAST","2005"
"232",8,"acm","RC EAST","2005"
"233",8,"cjsotf","RC EAST","2005"
"234",8,"tic","RC EAST","2005"
"235",9,"cache","RC EAST","2005"
"236",9,"rounds,","RC EAST","2005"
"237",9,"82mm","RC EAST","2005"
"238",10,"ana","RC EAST","2005"
"239",10,"vehicle","RC EAST","2005"
"240",10,"injuries","RC EAST","2005"
